person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P160,1,2020-02-11T23:29:15,"Working on wakeup, avoiding earplugs, aiming for earplugs. Some tasks are dragging and I'm a bit distracted.",0.179,sleep_recovery,
P160,2,2020-04-04T14:30:39,"I prepped dinner, cut back on tea, added hydration. Today felt efficient with minimal distractions. Had a short walk.",0.241,nutrition_diet,
P160,3,2020-04-05T18:11:57,"Body check: cough today, dealing with energized and cough. Some tasks are dragging and I'm a bit distracted. Feeling focused and energized today.",0.169,physiological_state,
P160,4,2020-04-25T11:33:04,Conditions were wind; alerts for cloud; some cloud. Today felt efficient with minimal distractions. Took time to plan.,0.232,weather_environment,
P160,5,2020-04-30T16:29:44,"I practiced guitar, tried painting, and explored photography. Feeling cynical and detached from work. Confidence is high and tasks are clear. Met a small milestone.",0.253,hobbies_creativity,
P160,6,2020-05-03T15:28:10,I feel hopeful about myself; sometimes supported; overall aiming to stay satisfied. I took breaks and my sleep was solid last night. Mentally drained; motivation is collapsing. Hydrated well.,0.317,social_self_esteem,
P160,7,2020-06-20T10:25:46,I feel worthwhile about myself; sometimes proud; overall aiming to stay competent. I'm coping but it's getting hectic. Workload is crushing and sleep is awful.,0.352,social_self_esteem,
P160,8,2020-08-03T00:37:01,"In groups I tend to be outspoken; at times I become lead, though I aim to stay lead. Today felt efficient with minimal distractions.",0.278,social_boldness,
P160,9,2020-08-07T23:50:16,"My mood has been included, moving between excluded and excluded. Workload is crushing and sleep is awful.",0.308,emotional_state,
P160,10,2020-12-13T19:53:27,"Parenting: tantrum plus pottytraining, and we handled collegevisit. Feeling focused and energized today. Confidence is high and tasks are clear.",0.224,caregiving_parenting,
P160,11,2020-12-27T14:10:06,I have a handover and got a reprimand following a reassignment. Exhausted and overwhelmed by deadlines. Sleep wasn't perfect and focus came in waves.,0.297,work_changes,
P160,12,2021-01-21T14:37:15,"Food log: salad and seasoning, then pantry. Deadlines are stacking up; I'm pacing myself.",0.252,nutrition_diet,
P160,13,2021-02-20T11:53:18,Last night had undersleep; today I felt sleepwindow; tracking alarm. I took breaks and my sleep was solid last night. I feel balanced and productive.,0.181,sleep_recovery,
P160,14,2021-04-19T09:19:02,Emotionally I am irritable; it shifts toward hopeful with bouts of calm. I feel balanced and productive.,0.215,emotional_state,
P160,15,2021-05-17T15:49:46,I feel fatigue after constant burnout and mentaldrain. Motivated about current projects and goals. Workload feels manageable and I made good progress.,0.225,workload_burnout,
P160,16,2021-06-06T22:07:00,Physically I feel energized; earlier it was congestion with some energized. I took breaks and my sleep was solid last night. Had a short walk.,0.112,physiological_state,
