person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P319,1,2020-01-09T21:27:08,"The recreation helped me unplug last week. Stressed, irritable, and falling behind.",0.483,recovery_holidays,
P319,2,2020-01-17T13:45:12,"Health update: labresults and symptom with notes about diagnosis. Stressed, irritable, and falling behind.",0.468,medical_wellbeing,
P319,3,2020-01-20T20:42:31,"Parenting: milestone plus bedtime, and we handled childcare. Sleep wasn't perfect and focus came in waves.",0.583,caregiving_parenting,
P319,4,2020-01-30T20:00:47,"The relaxation helped me downtime last week. Sleep wasn't perfect and focus came in waves. Stressed, irritable, and falling behind.",0.58,recovery_holidays,
P319,5,2020-02-12T09:52:54,"I prepped coffee, cut back on snack, added carbs. Energy is uneven and I'm working through minor setbacks. Struggling to concentrate; tasks feel impossible.",0.794,nutrition_diet,
P319,6,2020-02-28T05:38:44,Had a lunch with friends and a host; it led to meetup. Burnout is spiking; I can't keep up.,0.589,social_events,
P319,7,2020-03-02T10:21:30,I plan a sabbatical to finally nap. Mentally drained; motivation is collapsing. Workload is crushing and sleep is awful.,0.665,recovery_holidays,
P319,8,2020-03-08T15:46:40,I plan a recharge to finally nap. I'm coping but it's getting hectic. Pressure is noticeable but still under control.,0.643,recovery_holidays,
P319,9,2020-04-09T13:47:23,"In groups I tend to be selfstarter; at times I become icebreaker, though I aim to stay spokesperson. I took breaks and my sleep was solid last night. I took breaks and my sleep was solid last night.",0.575,social_boldness,
P319,10,2020-04-14T00:01:35,"Worked on pestcontrol, scheduled security, and fixed yardwork. I'm coping but it's getting hectic. Energy is uneven and I'm working through minor setbacks.",0.466,housing_home_projects,
P319,11,2020-05-08T08:20:29,Caught timetable; then rushhour; finally arrived after ride. Progress is okay but I'm juggling competing priorities.,0.66,commute_transportation,
P319,12,2020-05-12T17:46:11,Sleep update: restfulness and dream with notes on slumber. Feeling cynical and detached from work.,0.786,sleep_recovery,
