person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P213,1,2020-01-11T23:59:29,I feel valued about myself; sometimes supported; overall aiming to stay selftrust. Progress is okay but I'm juggling competing priorities. Confidence is high and tasks are clear. Hydrated well.,0.22,social_self_esteem,
P213,2,2020-02-26T00:35:07,Energy feels dynamic; occasionally vibrant; aiming for bubbly. Progress is okay but I'm juggling competing priorities.,0.286,liveliness,
P213,3,2020-05-19T05:59:58,Tech note: endpoint with database and a network. Today felt efficient with minimal distractions.,0.214,technology_tools,
P213,4,2020-05-26T03:12:14,Time to retreat and fully vacation. I'm coping but it's getting hectic. Feeling focused and energized today.,0.309,recovery_holidays,
P213,5,2020-05-26T19:43:26,"My social energy is mingling; I like community, though I drift into friendly. I took breaks and my sleep was solid last night. Took time to plan.",0.205,sociability,
P213,6,2020-05-31T15:45:00,Commute note: tollbooth with timetable and a bit of carpool. I took breaks and my sleep was solid last night. I feel balanced and productive. Had a short walk.,0.161,commute_transportation,
P213,7,2020-08-04T10:50:40,Forecast showed humidity; we had sunshine; brief thunder. Feeling focused and energized today. Team support is strong and communication is clear.,0.275,weather_environment,
P213,8,2020-08-20T07:31:02,Health update: screening and telehealth with notes about followup. Progress is okay but I'm juggling competing priorities. Team support is strong and communication is clear. Hydrated well.,0.223,medical_wellbeing,
P213,9,2020-08-24T14:54:17,Weather: ice with freeze; later saw storm. Today felt efficient with minimal distractions.,0.208,weather_environment,
P213,10,2020-08-28T02:21:55,"I practiced calligraphy, tried cooking, and explored calligraphy. Feeling focused and energized today.",0.231,hobbies_creativity,
P213,11,2020-09-01T16:09:54,Home update: repair and roofing with notes about painting. Mentally drained; motivation is collapsing. Feeling focused and energized today. Took time to plan.,0.261,housing_home_projects,
P213,12,2020-09-11T07:07:32,I feel selftrust about myself; sometimes resilient; overall aiming to stay competent. Motivated about current projects and goals. Motivated about current projects and goals.,0.199,social_self_esteem,
P213,13,2020-09-11T11:26:28,Caught carpool; then laneclosure; finally arrived after ride. Feeling focused and energized today. Motivated about current projects and goals. Took time to plan.,0.23,commute_transportation,
P213,14,2020-11-19T22:26:58,During meetings I am lead; sometimes spokesperson; working toward visible. Energy is uneven and I'm working through minor setbacks. Deadlines are stacking up; I'm pacing myself. Met a small milestone.,0.344,social_boldness,
P213,15,2020-11-30T03:14:08,Most days I feel dynamic; sometimes I slip into motivated before returning to positive. I feel balanced and productive. Today felt efficient with minimal distractions.,0.205,liveliness,
P213,16,2020-11-30T14:16:00,Money update: interest and interest while tracking interest. I took breaks and my sleep was solid last night. Workload is crushing and sleep is awful.,0.235,financial_stress_budgeting,
P213,17,2020-12-05T07:32:27,Last night had snoring; today I felt light; tracking slumber. Workload feels manageable and I made good progress. Sleep wasn't perfect and focus came in waves.,0.304,sleep_recovery,
P213,18,2020-12-06T04:33:47,"Working on oversleep, avoiding sleepwindow, aiming for nap. I feel balanced and productive. Had a short walk.",0.178,sleep_recovery,
P213,19,2021-01-21T06:36:45,"Lately I feel excluded, sometimes anxious, and occasionally overwhelmed. Confidence is high and tasks are clear. Hydrated well.",0.215,emotional_state,
P213,20,2021-03-01T07:02:28,"In groups I tend to be avoidant; at times I become present, though I aim to stay assertive. Today felt efficient with minimal distractions.",0.21,social_boldness,
P213,21,2021-03-22T16:04:09,The fatigue and weariness make me multitasking. Motivated about current projects and goals.,0.267,workload_burnout,
P213,22,2021-03-25T02:05:40,Weather: wind with wind; later saw lightning. Team support is strong and communication is clear.,0.173,weather_environment,
P213,23,2021-03-27T02:49:15,"Body check: energized today, dealing with dizzy and sore. Motivated about current projects and goals. Progress is okay but I'm juggling competing priorities. Had a short walk.",0.293,physiological_state,
P213,24,2021-03-28T00:26:11,Energy feels animated; occasionally peppy; aiming for optimistic. Feeling focused and energized today. Took time to plan.,0.252,liveliness,
P213,25,2021-04-08T03:49:32,Most days I feel zestful; sometimes I slip into highenergy before returning to highenergy. Feeling focused and energized today.,0.202,liveliness,
P213,26,2021-05-02T05:28:12,"I prepped fiber, cut back on produce, added fats. I took breaks and my sleep was solid last night.",0.29,nutrition_diet,
P213,27,2021-05-13T07:58:53,"Body check: jetlagged today, dealing with fatigue and cramps. Sleep wasn't perfect and focus came in waves.",0.217,physiological_state,
P213,28,2021-05-23T17:04:18,"I feel adequate about myself; sometimes assured; overall aiming to stay valued. Stressed, irritable, and falling behind. Feeling focused and energized today. Took time to plan.",0.217,social_self_esteem,
P213,29,2021-06-23T16:47:00,Day to day I am gathering; I seek affiliation; sometimes I prefer approachable. Team support is strong and communication is clear.,0.103,sociability,
P213,30,2021-07-01T01:34:25,Had a celebration with friends and a gathering; it led to colleague. Feeling focused and energized today. Hydrated well.,0.154,social_events,
P213,31,2021-07-10T20:15:59,"I prepped appetite, cut back on pantry, added groceries. Pressure is noticeable but still under control. Workload feels manageable and I made good progress. Hydrated well.",0.249,nutrition_diet,
P213,32,2021-07-23T19:25:12,"We hit a transfer, received certification, and started promotion. Confidence is high and tasks are clear. I'm coping but it's getting hectic.",0.232,work_changes,
P213,33,2021-07-30T13:28:19,Personal update: wedding and dealing with newbaby while planning for relationshipstarted. Feeling focused and energized today. I took breaks and my sleep was solid last night.,0.21,personal_events,legalmatter
P213,34,2021-08-02T16:38:48,We coordinated storytime and addressed feeding amid storytime. Today felt efficient with minimal distractions.,0.214,caregiving_parenting,
P213,35,2021-08-05T12:37:47,Energy feels energetic; occasionally cheerful; aiming for lively. Motivated about current projects and goals. I took breaks and my sleep was solid last night.,0.231,liveliness,
P213,36,2021-10-02T13:04:11,"I prepped groceries, cut back on fats, added hydration. Today felt efficient with minimal distractions. Workload feels manageable and I made good progress. Took time to plan.",0.265,nutrition_diet,
P213,37,2021-10-25T03:26:20,Facing interest and planning around latefee with installment. Workload feels manageable and I made good progress.,0.185,financial_stress_budgeting,
P213,38,2021-10-30T21:31:19,"We studied mentor, practiced readinglist, and presented internship. I feel balanced and productive.",0.205,learning_profdev,
P213,39,2021-11-01T08:18:00,I plan a getaway to finally holiday. Today felt efficient with minimal distractions. Took time to plan.,0.253,recovery_holidays,
P213,40,2021-11-03T23:12:48,Discussed physical and started sideeffects to address prognosis. Pressure is noticeable but still under control.,0.206,medical_wellbeing,
P213,41,2021-11-12T07:44:36,The timepressure and deadline make me overwhelm. Motivated about current projects and goals. Pressure is noticeable but still under control. Met a small milestone.,0.194,workload_burnout,
P213,42,2021-12-02T19:22:25,Sleep update: melatonin and blackoutcurtains with notes on catnap. Deadlines are stacking up; I'm pacing myself. Met a small milestone.,0.205,sleep_recovery,
P213,43,2021-12-13T19:14:16,Money update: budget and rent while tracking expensecap. Team support is strong and communication is clear. Took time to plan.,0.274,financial_stress_budgeting,
P213,44,2021-12-29T09:44:55,I have a offboarding and got a policyupdate following a postmortem. I took breaks and my sleep was solid last night. Struggling to concentrate; tasks feel impossible. Hydrated well.,0.218,work_changes,
P213,45,2022-01-04T07:41:33,I plan a rest to finally vacation. Today felt efficient with minimal distractions. Had a short walk.,0.251,recovery_holidays,
P213,46,2022-01-06T17:14:10,During meetings I am pitch; sometimes visible; working toward outspoken. Feeling focused and energized today. Team support is strong and communication is clear.,0.178,social_boldness,
P213,47,2022-01-25T23:55:55,"We reviewed insurance, adjusted for latefee, and watched debt. Mentally drained; motivation is collapsing.",0.297,financial_stress_budgeting,
P213,48,2022-02-28T12:19:33,"I practiced journaling, tried piano, and explored cooking. Confidence is high and tasks are clear.",0.225,hobbies_creativity,
P213,49,2022-03-16T21:27:49,Creative time included journaling plus baking and gaming. Workload feels manageable and I made good progress. I feel balanced and productive.,0.309,hobbies_creativity,
P213,50,2022-03-17T09:42:20,"Food log: tea and portion, then sauce. Motivated about current projects and goals.",0.234,nutrition_diet,
P213,51,2022-03-20T19:46:01,"Working on melatonin, avoiding light, aiming for remsleep. I took breaks and my sleep was solid last night.",0.197,sleep_recovery,
P213,52,2022-04-03T06:24:56,I plan a recover to finally nap. Confidence is high and tasks are clear. Had a short walk.,0.213,recovery_holidays,
P213,53,2022-04-20T15:40:23,"My mood is highenergy, with periods of positive; I try to keep things sunny. Team support is strong and communication is clear.",0.254,liveliness,
P213,54,2022-05-01T06:03:00,I feel selfassured about myself; sometimes appreciated; overall aiming to stay positive. Today felt efficient with minimal distractions. I took breaks and my sleep was solid last night. Hydrated well.,0.233,social_self_esteem,
P213,55,2022-05-24T22:56:31,"Worked on water, scheduled painting, and fixed maintenance. I took breaks and my sleep was solid last night. Hydrated well.",0.175,housing_home_projects,
P213,56,2022-06-13T14:22:11,Another crunchtime means more depletion and overwhelm. Pressure is noticeable but still under control.,0.214,workload_burnout,
P213,57,2022-07-05T15:22:04,"Working on sleepquality, avoiding light, aiming for restfulness. I feel balanced and productive. Met a small milestone.",0.109,sleep_recovery,
P213,58,2022-08-06T06:49:03,Most days I feel plodding; sometimes I slip into lowenergy before returning to cheerful. Some tasks are dragging and I'm a bit distracted.,0.215,liveliness,
P213,59,2022-08-13T15:53:13,Noticed endorphins and episodes of strong alongside sorethroat. Workload feels manageable and I made good progress. Some tasks are dragging and I'm a bit distracted.,0.157,physiological_state,
P213,60,2022-08-20T07:33:27,I plan a leisure to finally rest. Today felt efficient with minimal distractions.,0.221,recovery_holidays,
P213,61,2022-10-05T00:01:52,Had a reconciliation with friends and a invite; it led to lunch. Motivated about current projects and goals.,0.27,social_events,
P213,62,2022-11-06T20:59:25,Tech note: desktop with bug and a bug. Today felt efficient with minimal distractions. Met a small milestone.,0.122,technology_tools,
P213,63,2022-12-05T14:31:41,"My mood is dynamic, with periods of lighthearted; I try to keep things bright. I feel balanced and productive. Met a small milestone.",0.165,liveliness,
P213,64,2022-12-10T11:44:55,Last night had restfulness; today I felt siesta; tracking blackoutcurtains. I took breaks and my sleep was solid last night. Had a short walk.,0.283,sleep_recovery,
P213,65,2022-12-14T08:23:28,"Body check: refreshed today, dealing with crampssubsided and chills. Today felt efficient with minimal distractions. Took time to plan.",0.208,physiological_state,
P213,66,2022-12-30T06:30:22,Forecast showed microburst; we had flood; brief snow. Today felt efficient with minimal distractions.,0.145,weather_environment,
P213,67,2023-01-04T01:14:15,Weather: pollen with drought; later saw sunshine. Today felt efficient with minimal distractions.,0.321,weather_environment,
P213,68,2023-02-11T17:45:05,"My mood is buoyant, with periods of upbeat; I try to keep things buoyant. Workload feels manageable and I made good progress. Today felt efficient with minimal distractions.",0.203,liveliness,
P213,69,2023-03-16T04:14:08,Commute note: detour with commute and a bit of timetable. Today felt efficient with minimal distractions.,0.15,commute_transportation,
P213,70,2023-03-18T00:45:30,During meetings I am vocal; sometimes selfstarter; working toward introduce. Energy is uneven and I'm working through minor setbacks. Met a small milestone.,0.239,social_boldness,
P213,71,2023-03-29T00:36:34,We organized a movienight; there was host and later meetup. Workload feels manageable and I made good progress. Confidence is high and tasks are clear.,0.255,social_events,
P213,72,2023-04-14T08:09:51,We planned recycling; contacted repair; resolved neighbor. I feel balanced and productive. Had a short walk.,0.185,housing_home_projects,
P213,73,2023-05-16T15:55:26,"Lately my selfview is confident, with moments of imposter, moving toward grounded. Today felt efficient with minimal distractions. Workload is crushing and sleep is awful.",0.223,social_self_esteem,
P213,74,2023-08-05T07:55:16,Today involved feeding; later extracurricular; some lice as well. Feeling focused and energized today. Pressure is noticeable but still under control.,0.275,caregiving_parenting,
P213,75,2023-08-14T11:39:09,Creative time included beadwork plus journaling and sampling. Sleep wasn't perfect and focus came in waves. Met a small milestone.,0.164,hobbies_creativity,
P213,76,2023-08-17T17:58:35,Noticed chills and episodes of stomachache alongside migraine. Team support is strong and communication is clear. Took time to plan.,0.111,physiological_state,
P213,77,2023-08-19T14:29:11,I feel deadline after constant frustration and spiral. Today felt efficient with minimal distractions. Pressure is noticeable but still under control. Met a small milestone.,0.24,workload_burnout,
P213,78,2023-08-21T12:26:32,"My social energy is antisocial; I like unsocial, though I drift into lowcontact. Energy is uneven and I'm working through minor setbacks.",0.197,sociability,
P213,79,2023-08-26T00:36:52,We had crowding and rideshare; the timetable slowed everything. Energy is uneven and I'm working through minor setbacks. Confidence is high and tasks are clear. Took time to plan.,0.207,commute_transportation,
P213,80,2023-09-11T05:52:21,There was KPI about a new resourcing in the decision. Feeling focused and energized today. Sleep wasn't perfect and focus came in waves.,0.167,management_conflict,
P213,81,2023-10-03T02:54:48,Commute note: subway with construction and a bit of timetable. Team support is strong and communication is clear.,0.303,commute_transportation,
P213,82,2023-10-13T20:13:33,We planned power; contacted painting; resolved plumbing. I feel balanced and productive. Deadlines are stacking up; I'm pacing myself.,0.192,housing_home_projects,
P213,83,2023-10-16T09:11:50,"I prepped appetite, cut back on mealprep, added dessert. I'm coping but it's getting hectic.",0.225,nutrition_diet,
P213,84,2023-10-19T07:38:04,Meals were craving; cravings for portion; tracked lunch. Sleep wasn't perfect and focus came in waves. Feeling focused and energized today.,0.208,nutrition_diet,
P213,85,2023-11-01T01:29:19,"Socially I act lowkey, occasionally selfstarter, trying to remain moderate. Burnout is spiking; I can't keep up. Energy is uneven and I'm working through minor setbacks.",0.249,social_boldness,
P213,86,2023-11-03T20:04:00,"My mood has been motivated, moving between tense and irritable. Team support is strong and communication is clear. Pressure is noticeable but still under control. Had a short walk.",0.202,emotional_state,
P213,87,2023-12-18T15:26:32,I plan a mindfulness to finally recover. Motivated about current projects and goals.,0.249,recovery_holidays,
P213,88,2023-12-28T17:26:22,Conditions were blizzard; alerts for wind; some rainbow. Feeling focused and energized today. Took time to plan.,0.224,weather_environment,
P213,89,2024-01-09T01:39:42,I plan a yoga to finally break. I took breaks and my sleep was solid last night. Met a small milestone.,0.176,recovery_holidays,
P213,90,2024-01-26T15:20:49,"My mood is spark, with periods of spirited; I try to keep things animated. Some tasks are dragging and I'm a bit distracted. Had a short walk.",0.23,liveliness,
P213,91,2024-02-03T19:56:24,"Worked on security, scheduled landlord, and fixed gate. Today felt efficient with minimal distractions. Met a small milestone.",0.219,housing_home_projects,
P213,92,2024-02-11T19:24:04,I feel timepressure after constant burnout and spiral. Workload feels manageable and I made good progress.,0.171,workload_burnout,
P213,93,2024-02-15T18:59:30,Our policy scheduled a feedback after the decision. Sleep wasn't perfect and focus came in waves.,0.275,management_conflict,
P213,94,2024-03-06T05:07:29,"Parenting: orientation plus milestone, and we handled milestone. Today felt efficient with minimal distractions. Met a small milestone.",0.224,caregiving_parenting,
P213,95,2024-04-08T06:35:41,Creative time included singing plus watercolor and watercolor. Some tasks are dragging and I'm a bit distracted.,0.217,hobbies_creativity,
P213,96,2024-04-16T03:48:13,Last night had light; today I felt winddownmusic; tracking oversleep. I feel balanced and productive. Team support is strong and communication is clear.,0.348,sleep_recovery,
P213,97,2024-04-24T07:30:49,Day to day I am warm; I seek gathering; sometimes I prefer warm. Sleep wasn't perfect and focus came in waves. I feel balanced and productive. Met a small milestone.,0.236,sociability,
P213,98,2024-05-04T21:43:58,"For fun: gaming and letterpress, experimenting with poetry. I feel balanced and productive. Sleep wasn't perfect and focus came in waves.",0.263,hobbies_creativity,
P213,99,2024-05-24T07:37:56,I plan a recover to finally rest. Sleep wasn't perfect and focus came in waves. Energy is uneven and I'm working through minor setbacks. Had a short walk.,0.268,recovery_holidays,
P213,100,2024-05-27T11:32:42,The accountability caused retro and more compliance. I'm coping but it's getting hectic. Energy is uneven and I'm working through minor setbacks.,0.255,management_conflict,
P213,101,2024-06-24T11:08:14,The pagerduty and overwork make me sprint. Motivated about current projects and goals. I took breaks and my sleep was solid last night.,0.326,workload_burnout,
P213,102,2024-07-06T13:47:29,Time to recharge and fully backyard. Motivated about current projects and goals.,0.232,recovery_holidays,
P213,103,2024-08-01T12:39:29,The garden helped me getaway last week. I took breaks and my sleep was solid last night.,0.259,recovery_holidays,
P213,104,2024-08-15T13:00:16,I feel reclusive and enjoy chatty; when tired I lean toward companionship. Team support is strong and communication is clear. Confidence is high and tasks are clear.,0.252,sociability,
P213,105,2024-08-17T15:44:59,We planned compost; contacted rent; resolved weatherproofing. Motivated about current projects and goals. Had a short walk.,0.229,housing_home_projects,
P213,106,2024-09-01T05:23:16,My selfesteem feels hopeful; it drifts toward worthwhile and back to respected. Pressure is noticeable but still under control. Workload feels manageable and I made good progress.,0.292,social_self_esteem,
P213,107,2024-09-11T08:06:48,The meeting caused decision and more stakeholder. Mentally drained; motivation is collapsing.,0.288,management_conflict,
P213,108,2024-10-03T13:52:51,Personal update: wedding and dealing with relationshipstarted while planning for visaupdate. Team support is strong and communication is clear. Took time to plan.,0.267,personal_events,promotion
P213,109,2024-10-04T22:15:50,Tech note: feature with script and a alert. Sleep wasn't perfect and focus came in waves. Took time to plan.,0.311,technology_tools,
P213,110,2024-10-07T07:19:20,Our orgchart scheduled a accountability after the retro. Confidence is high and tasks are clear.,0.192,management_conflict,
P213,111,2024-11-27T02:28:23,"My mood is optimistic, with periods of zestful; I try to keep things buoyant. Feeling focused and energized today. Deadlines are stacking up; I'm pacing myself. Hydrated well.",0.281,liveliness,
P213,112,2024-12-05T09:06:03,Home update: pestcontrol and security with notes about neighbor. Progress is okay but I'm juggling competing priorities. Had a short walk.,0.212,housing_home_projects,
P213,113,2024-12-05T18:32:02,During meetings I am moderate; sometimes shrinking; working toward volunteer. I took breaks and my sleep was solid last night.,0.233,social_boldness,
P213,114,2024-12-07T23:09:26,"I practiced woodworking, tried zine, and explored gardening. Feeling focused and energized today. Took time to plan.",0.162,hobbies_creativity,
P213,115,2024-12-12T15:10:57,"My mood is bubbly, with periods of spark; I try to keep things highenergy. I'm coping but it's getting hectic.",0.191,liveliness,
P213,116,2025-01-08T14:01:58,"Worked on foundation, scheduled painting, and fixed gate. I feel balanced and productive.",0.201,housing_home_projects,
P213,117,2025-01-10T10:39:20,"Food log: electrolyte and probiotic, then produce. Deadlines are stacking up; I'm pacing myself. Sleep wasn't perfect and focus came in waves.",0.329,nutrition_diet,
P213,118,2025-02-28T22:41:01,Caught ride; then traffic; finally arrived after delay. Confidence is high and tasks are clear.,0.123,commute_transportation,
P213,119,2025-03-13T21:29:19,I feel isolation and enjoy mingling; when tired I lean toward unsocial. Today felt efficient with minimal distractions. Energy is uneven and I'm working through minor setbacks. Hydrated well.,0.203,sociability,
P213,120,2025-03-26T12:09:35,Commute note: delay with evstation and a bit of carpool. Today felt efficient with minimal distractions.,0.223,commute_transportation,
P213,121,2025-04-03T00:00:45,Our expectations scheduled a orgchart after the audit. Team support is strong and communication is clear. Met a small milestone.,0.222,management_conflict,
P213,122,2025-04-18T12:02:46,Meals were dairyfree; cravings for leftovers; tracked seasoning. I feel balanced and productive.,0.213,nutrition_diet,
P213,123,2025-04-24T23:32:01,We organized a coffee; there was friendgroup and later potluck. I feel balanced and productive. Met a small milestone.,0.259,social_events,
P213,124,2025-05-02T07:53:57,"Lately my selfview is capable, with moments of resilient, moving toward valued. Energy is uneven and I'm working through minor setbacks. I feel balanced and productive.",0.241,social_self_esteem,
P213,125,2025-06-01T07:45:14,"For fun: zine and zine, experimenting with sculpture. Motivated about current projects and goals. Burnout is spiking; I can't keep up. Had a short walk.",0.303,hobbies_creativity,
P213,126,2025-06-22T11:11:49,Today involved permissionform; later bedtime; some daycare as well. I feel balanced and productive.,0.217,caregiving_parenting,
P213,127,2025-06-27T16:17:49,I feel independent and enjoy affiliation; when tired I lean toward community. Deadlines are stacking up; I'm pacing myself. Motivated about current projects and goals. Took time to plan.,0.214,sociability,
P213,128,2025-08-06T01:09:02,I feel interruptions after constant latenight and overwork. Workload is crushing and sleep is awful.,0.364,workload_burnout,
P213,129,2025-08-18T01:16:31,I feel burnout after constant latenight and sprint. Exhausted and overwhelmed by deadlines. Today felt efficient with minimal distractions.,0.316,workload_burnout,
P213,130,2025-08-20T07:52:42,"Lately my selfview is selfconscious, with moments of proud, moving toward valued. Team support is strong and communication is clear. Workload feels manageable and I made good progress. Hydrated well.",0.247,social_self_esteem,
P213,131,2025-08-27T01:23:49,"My mood is plodding, with periods of dreary; I try to keep things eager. I'm coping but it's getting hectic. Motivated about current projects and goals. Met a small milestone.",0.261,liveliness,
P213,132,2025-09-10T05:46:34,"In groups I tend to be pitch; at times I become wavering, though I aim to stay present. Energy is uneven and I'm working through minor setbacks. Today felt efficient with minimal distractions. Took time to plan.",0.226,social_boldness,
P213,133,2025-09-11T23:41:07,"My mood is buoyant, with periods of jaunty; I try to keep things dull. Deadlines are stacking up; I'm pacing myself. I took breaks and my sleep was solid last night.",0.247,liveliness,
P213,134,2025-09-17T01:00:06,Money update: withholding and overdraft while tracking consolidation. Progress is okay but I'm juggling competing priorities. Took time to plan.,0.217,financial_stress_budgeting,
P213,135,2025-09-27T11:06:09,I feel aloof and enjoy togetherness; when tired I lean toward networking. Back-to-back demands with no recovery time.,0.245,sociability,
P213,136,2025-10-28T12:02:44,Caught detainment; then carpool; finally arrived after ride. Team support is strong and communication is clear. Took time to plan.,0.295,commute_transportation,
P213,137,2025-11-10T13:56:12,Conditions were cold; alerts for fog; some microburst. Confidence is high and tasks are clear.,0.124,weather_environment,
P213,138,2025-11-15T11:08:35,Conditions were drizzle; alerts for humidity; some drought. Workload feels manageable and I made good progress. Hydrated well.,0.146,weather_environment,
P213,139,2025-12-04T01:03:51,There was audit about a new memo in the deadlinechange. I'm coping but it's getting hectic. I feel balanced and productive.,0.362,management_conflict,
P213,140,2026-01-13T01:13:41,The escalation caused KPI and more retro. Today felt efficient with minimal distractions.,0.296,management_conflict,
P213,141,2026-03-04T04:48:46,Forecast showed heat; we had wildfire; brief wildfire. Today felt efficient with minimal distractions.,0.234,weather_environment,
P213,142,2026-03-17T05:39:42,"Forecast showed cold; we had sunrise; brief airquality. Stressed, irritable, and falling behind.",0.252,weather_environment,
P213,143,2026-04-14T19:05:57,Day to day I am togetherness; I seek friendly; sometimes I prefer bonding. Workload is crushing and sleep is awful.,0.299,sociability,
P213,144,2026-04-16T17:04:25,Creative time included hiking plus letterpress and pottery. Energy is uneven and I'm working through minor setbacks.,0.291,hobbies_creativity,
P213,145,2026-04-19T13:09:09,"We handled bug, then credential, followed by network. I took breaks and my sleep was solid last night.",0.194,technology_tools,
P213,146,2026-04-30T05:45:50,Today involved audition; later permissionform; some school as well. Deadlines are stacking up; I'm pacing myself.,0.243,caregiving_parenting,
P213,147,2026-05-02T07:12:54,We planned appliance; contacted permit; resolved security. Confidence is high and tasks are clear. Team support is strong and communication is clear. Hydrated well.,0.214,housing_home_projects,
P213,148,2026-06-12T11:23:22,I plan a mindfulness to finally sunrise. Team support is strong and communication is clear. I'm coping but it's getting hectic.,0.367,recovery_holidays,
P213,149,2026-07-24T13:19:21,Commute note: speedlimit with diversion and a bit of congestion. Today felt efficient with minimal distractions. I feel balanced and productive.,0.238,commute_transportation,
P213,150,2026-08-04T13:14:17,We coordinated enrichment and addressed carline amid playdate. Motivated about current projects and goals. I'm coping but it's getting hectic.,0.254,caregiving_parenting,
P213,151,2026-08-21T00:50:31,Energy feels bubbly; occasionally lively; aiming for dynamic. I feel balanced and productive. Motivated about current projects and goals.,0.288,liveliness,
P213,152,2026-11-08T04:52:48,The overwhelm and escalation make me strain. Motivated about current projects and goals.,0.277,workload_burnout,
P213,153,2026-12-28T16:16:58,Health update: CTscan and specialist with notes about remission. Today felt efficient with minimal distractions. Energy is uneven and I'm working through minor setbacks. Hydrated well.,0.264,medical_wellbeing,
