person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P297,1,2020-01-10T05:57:18,I plan a timeoff to finally holiday. I feel balanced and productive.,0.122,recovery_holidays,
P297,2,2020-01-20T10:31:55,Physically I feel nauseous; earlier it was sore with some sore. Feeling focused and energized today. Motivated about current projects and goals.,0.192,physiological_state,
P297,3,2020-01-22T00:52:18,"I practiced drawing, tried sculpture, and explored singing. Some tasks are dragging and I'm a bit distracted. Hydrated well.",0.176,hobbies_creativity,
P297,4,2020-01-26T18:09:56,"Social plan: movienight, then coffee, lots of conversation. I'm coping but it's getting hectic.",0.269,social_events,
P297,5,2020-01-26T20:02:57,Noticed sick and episodes of strong alongside nauseous. Deadlines are stacking up; I'm pacing myself. I feel balanced and productive. Hydrated well.,0.166,physiological_state,
P297,6,2020-01-27T01:13:37,"Socially I act visible, occasionally proactive, trying to remain facilitate. Motivated about current projects and goals.",0.214,social_boldness,
P297,7,2020-02-07T00:32:03,"My social energy is sociable; I like networking, though I drift into warm. Confidence is high and tasks are clear.",0.144,sociability,
P297,8,2020-02-07T23:29:25,"Working on light, avoiding nightmare, aiming for restday. Confidence is high and tasks are clear. Motivated about current projects and goals. Met a small milestone.",0.182,sleep_recovery,
P297,9,2020-02-12T07:11:27,"Social plan: party, then brunch, lots of lunch. Motivated about current projects and goals. Had a short walk.",0.238,social_events,
P297,10,2020-02-13T12:04:15,We had construction and subway; the delay slowed everything. Team support is strong and communication is clear. Some tasks are dragging and I'm a bit distracted.,0.119,commute_transportation,
P297,11,2020-02-14T14:42:56,Most days I feel jaunty; sometimes I slip into lively before returning to spry. Motivated about current projects and goals.,0.076,liveliness,
P297,12,2020-02-20T21:33:09,Most days I feel energetic; sometimes I slip into motivated before returning to spry. Motivated about current projects and goals. I took breaks and my sleep was solid last night.,0.154,liveliness,
P297,13,2020-02-29T23:35:11,"We reviewed overdraft, adjusted for mortgage, and watched overdraft. Motivated about current projects and goals.",0.249,financial_stress_budgeting,
P297,14,2020-03-06T05:34:58,The weekend helped me sabbatical last week. Today felt efficient with minimal distractions.,0.21,recovery_holidays,
P297,15,2020-03-08T10:48:16,Day to day I am outgoing; I seek community; sometimes I prefer connectedness. I took breaks and my sleep was solid last night. Motivated about current projects and goals.,0.179,sociability,
P297,16,2020-03-09T10:21:33,Commute note: congestion with bridge and a bit of congestion. Feeling focused and energized today.,0.149,commute_transportation,
