person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P029,1,2020-01-03T00:55:44,"I practiced singing, tried writing, and explored guitar. Deadlines are stacking up; I'm pacing myself. Had a short walk.",0.115,hobbies_creativity,
P029,2,2020-01-04T02:28:40,Money update: debt and fees while tracking bills. Pressure is noticeable but still under control. Workload is crushing and sleep is awful.,0.375,financial_stress_budgeting,
P029,3,2020-01-07T03:45:41,"My mood has been frustrated, moving between irritable and confident. Confidence is high and tasks are clear. Hydrated well.",0.299,emotional_state,
P029,4,2020-01-08T07:27:35,"I practiced hiking, tried origami, and explored gardening. I took breaks and my sleep was solid last night.",0.276,hobbies_creativity,
P029,5,2020-01-15T01:30:41,Day to day I am mingling; I seek approachable; sometimes I prefer friendly. Today felt efficient with minimal distractions.,0.039,sociability,
P029,6,2020-01-16T00:56:49,"Body check: headache today, dealing with congestion and restless. Some tasks are dragging and I'm a bit distracted.",0.427,physiological_state,
P029,7,2020-01-16T20:30:26,"Socially I act decisive, occasionally outspoken, trying to remain pitch. Progress is okay but I'm juggling competing priorities. Struggling to concentrate; tasks feel impossible.",0.513,social_boldness,
P029,8,2020-01-19T21:28:39,Home update: water and renovation with notes about roofing. I took breaks and my sleep was solid last night. Today felt efficient with minimal distractions.,0.073,housing_home_projects,
P029,9,2020-01-22T13:35:45,I plan a vacation to finally reset. Feeling focused and energized today.,0.204,recovery_holidays,
P029,10,2020-01-27T06:29:57,Time to holiday and fully timeoff. I feel balanced and productive. Today felt efficient with minimal distractions. Took time to plan.,0.0,recovery_holidays,
P029,11,2020-02-01T12:23:31,"Food log: coffee and leftovers, then dinner. Team support is strong and communication is clear.",0.238,nutrition_diet,
P029,12,2020-02-09T04:52:05,There was deadlinechange about a new approval in the escalation. Team support is strong and communication is clear. Feeling focused and energized today.,0.246,management_conflict,
P029,13,2020-02-19T19:53:48,"We reviewed bills, adjusted for taxes, and watched latefee. Feeling focused and energized today. Exhausted and overwhelmed by deadlines.",0.426,financial_stress_budgeting,
P029,14,2020-03-18T13:38:16,My selfesteem feels hopeful; it drifts toward included and back to resilient. Sleep wasn't perfect and focus came in waves. I took breaks and my sleep was solid last night. Took time to plan.,0.189,social_self_esteem,
P029,15,2020-03-29T06:35:41,Money update: withholding and budget while tracking taxes. Energy is uneven and I'm working through minor setbacks. Some tasks are dragging and I'm a bit distracted.,0.454,financial_stress_budgeting,
P029,16,2020-03-29T07:46:12,Creative time included baking plus origami and painting. Confidence is high and tasks are clear.,0.093,hobbies_creativity,
P029,17,2020-03-30T20:49:38,The depletion and depletion make me frustration. I took breaks and my sleep was solid last night. Deadlines are stacking up; I'm pacing myself.,0.234,workload_burnout,
P029,18,2020-04-06T10:25:06,Another depletion means more spiral and stress. Workload feels manageable and I made good progress.,0.215,workload_burnout,
P029,19,2020-04-09T10:10:50,I feel weariness after constant strain and strain. Feeling focused and energized today. Pressure is noticeable but still under control. Had a short walk.,0.269,workload_burnout,
P029,20,2020-04-12T20:01:20,We coordinated diapers and addressed parentteacher amid homework. Sleep wasn't perfect and focus came in waves.,0.43,caregiving_parenting,
P029,21,2020-04-15T09:42:10,Meals were portion; cravings for portion; tracked hydration. I feel balanced and productive. Met a small milestone.,0.131,nutrition_diet,
P029,22,2020-04-16T06:02:21,Had a gathering with friends and a guest; it led to celebration. I'm coping but it's getting hectic.,0.24,social_events,
P029,23,2020-04-21T22:20:59,Most days I feel peppy; sometimes I slip into enthused before returning to upbeat. Team support is strong and communication is clear.,0.146,liveliness,
P029,24,2020-04-28T21:37:04,During meetings I am selfstarter; sometimes vocal; working toward vocal. Motivated about current projects and goals. Feeling focused and energized today.,0.1,social_boldness,
P029,25,2020-05-05T21:07:24,"We hit a reprimand, received support, and started bonus. I took breaks and my sleep was solid last night. Confidence is high and tasks are clear.",0.217,work_changes,
P029,26,2020-05-21T01:27:00,"Working on restday, avoiding restfulness, aiming for restfulness. I took breaks and my sleep was solid last night. I'm coping but it's getting hectic.",0.258,sleep_recovery,
P029,27,2020-06-02T08:47:04,Work update: reassignment with a deadline after the deadline. Confidence is high and tasks are clear. Hydrated well.,0.0,work_changes,
P029,28,2020-06-11T16:11:52,Physically I feel sick; earlier it was fatigue with some fatigue. I took breaks and my sleep was solid last night.,0.0,physiological_state,
P029,29,2020-06-13T19:00:49,Home update: recycling and maintenance with notes about rent. Confidence is high and tasks are clear.,0.288,housing_home_projects,
P029,30,2020-06-28T18:20:58,"I practiced cooking, tried origami, and explored piano. Today felt efficient with minimal distractions. Today felt efficient with minimal distractions. Had a short walk.",0.132,hobbies_creativity,
P029,31,2020-07-04T03:26:20,"We hit a raise, received transfer, and started crosstrain. Feeling focused and energized today. Motivated about current projects and goals.",0.016,work_changes,
P029,32,2020-07-07T10:16:45,Creative time included sculpture plus calligraphy and drawing. Team support is strong and communication is clear.,0.013,hobbies_creativity,
P029,33,2020-07-10T02:58:38,"For fun: gardening and photography, experimenting with watercolor. Team support is strong and communication is clear. Took time to plan.",0.249,hobbies_creativity,
P029,34,2020-07-10T13:06:28,Set up ticket; encountered network; shipped script. Workload feels manageable and I made good progress. Workload is crushing and sleep is awful.,0.446,technology_tools,
P029,35,2020-07-21T11:32:33,There was escalation about a new resourcing in the resourcing. Struggling to concentrate; tasks feel impossible. Energy is uneven and I'm working through minor setbacks. Took time to plan.,0.278,management_conflict,
P029,36,2020-07-24T21:38:41,"My social energy is smalltalk; I like sociable, though I drift into gathering. Progress is okay but I'm juggling competing priorities. Team support is strong and communication is clear. Took time to plan.",0.175,sociability,
P029,37,2020-07-28T10:55:40,"I practiced sculpture, tried singing, and explored calligraphy. Confidence is high and tasks are clear.",0.0,hobbies_creativity,
P029,38,2020-07-30T22:01:06,Energy feels highenergy; occasionally peppy; aiming for highenergy. I feel balanced and productive. Workload feels manageable and I made good progress. Hydrated well.,0.079,liveliness,
P029,39,2020-08-02T03:04:04,Another mentaldrain means more mentaldrain and overcapacity. Workload is crushing and sleep is awful.,0.655,workload_burnout,
P029,40,2020-08-19T13:52:33,We had commute and detour; the parking slowed everything. I took breaks and my sleep was solid last night. Motivated about current projects and goals. Had a short walk.,0.234,commute_transportation,
P029,41,2020-08-21T09:40:16,Time to recreation and fully unplug. Some tasks are dragging and I'm a bit distracted. Feeling focused and energized today.,0.248,recovery_holidays,
P029,42,2020-08-27T12:40:30,There was miscommunication about a new decision in the miscommunication. Workload feels manageable and I made good progress. Took time to plan.,0.18,management_conflict,
P029,43,2020-08-31T08:04:28,I feel bonding and enjoy chatty; when tired I lean toward affiliation. Today felt efficient with minimal distractions. Had a short walk.,0.14,sociability,
P029,44,2020-09-04T00:24:46,"My social energy is companionship; I like affiliation, though I drift into community. Progress is okay but I'm juggling competing priorities. I feel balanced and productive. Met a small milestone.",0.198,sociability,
P029,45,2020-09-08T22:16:26,We coordinated lunchbox and addressed pickup amid parentteacher. Feeling focused and energized today. Motivated about current projects and goals. Met a small milestone.,0.202,caregiving_parenting,
P029,46,2020-09-13T08:21:40,"We handled network, then firewall, followed by laptop. Back-to-back demands with no recovery time. Exhausted and overwhelmed by deadlines.",0.493,technology_tools,
P029,47,2020-09-14T20:49:26,Another exhausted means more overtime and frustration. Mentally drained; motivation is collapsing. Some tasks are dragging and I'm a bit distracted.,0.316,workload_burnout,
P029,48,2020-09-16T01:45:00,"For fun: gaming and knitting, experimenting with baking. I took breaks and my sleep was solid last night.",0.047,hobbies_creativity,
