person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P196,1,2020-01-05T00:22:04,Most days I feel sunny; sometimes I slip into upbeat before returning to spry. Team support is strong and communication is clear. I feel balanced and productive. Met a small milestone.,0.184,liveliness,
P196,2,2020-01-05T23:00:10,Facing budget and planning around interest with budget. I feel balanced and productive. Energy is uneven and I'm working through minor setbacks. Had a short walk.,0.154,financial_stress_budgeting,
P196,3,2020-01-08T17:09:19,"My mood is enthused, with periods of peppy; I try to keep things motivated. Workload feels manageable and I made good progress. Feeling focused and energized today.",0.173,liveliness,
P196,4,2020-01-14T16:06:40,Energy feels positive; occasionally peppy; aiming for cheerful. Progress is okay but I'm juggling competing priorities. Team support is strong and communication is clear.,0.152,liveliness,
P196,5,2020-01-15T11:59:08,Time to recharge and fully reset. Some tasks are dragging and I'm a bit distracted. I feel balanced and productive.,0.225,recovery_holidays,
P196,6,2020-01-19T17:41:03,Sleep update: insomnia and sleepquality with notes on light. Motivated about current projects and goals. Feeling focused and energized today. Had a short walk.,0.103,sleep_recovery,
P196,7,2020-01-23T03:46:04,"Lately I feel frustrated, sometimes discouraged, and occasionally motivated. Sleep wasn't perfect and focus came in waves.",0.177,emotional_state,
P196,8,2020-01-23T13:45:01,The downtime helped me timeoff last week. Progress is okay but I'm juggling competing priorities. Confidence is high and tasks are clear. Took time to plan.,0.201,recovery_holidays,
P196,9,2020-01-24T04:06:49,My selfesteem feels accepted; it drifts toward resilient and back to balanced. Workload feels manageable and I made good progress. Progress is okay but I'm juggling competing priorities.,0.184,social_self_esteem,
P196,10,2020-01-24T23:37:43,"For fun: singing and origami, experimenting with calligraphy. Team support is strong and communication is clear. Deadlines are stacking up; I'm pacing myself.",0.162,hobbies_creativity,
P196,11,2020-02-01T10:25:56,I feel gathering and enjoy connectedness; when tired I lean toward affiliation. I took breaks and my sleep was solid last night.,0.102,sociability,
P196,12,2020-02-01T16:55:04,Commute note: detainment with transit and a bit of congestion. Team support is strong and communication is clear. Feeling focused and energized today.,0.172,commute_transportation,
P196,13,2020-02-01T19:43:30,Money update: mortgage and withholding while tracking deduction. Team support is strong and communication is clear. I took breaks and my sleep was solid last night. Had a short walk.,0.192,financial_stress_budgeting,
P196,14,2020-02-05T21:58:38,Money update: withholding and insurance while tracking debt. Feeling focused and energized today.,0.294,financial_stress_budgeting,
P196,15,2020-02-05T23:23:09,During meetings I am icebreaker; sometimes challenge; working toward host. Energy is uneven and I'm working through minor setbacks. Some tasks are dragging and I'm a bit distracted.,0.132,social_boldness,
